,battery,humidity,pressure,rf_counter,rf_total,temperature,direction,speed,f_cnt,rssi,snr,value,time
0,38,42.5,1008.3,0,0,22.8,201.5,0.2,6,-92,9.8,1,2025-03-27T11:13:55.023805793Z
1,38,43,1008.2,0,0,22.8,208.8,0.3,7,-93,1,1,2025-03-27T11:18:55.016075818Z
2,38,42.5,1008.1,0,0,22.8,211.7,0.3,8,-83,11.2,1,2025-03-27T11:23:54.996145942Z
3,38,42.5,1008,0,0,22.8,214,0.3,9,-84,10.2,1,2025-03-27T11:28:57.167938778Z
4,38,42.5,1008,0,0,22.8,209.4,0.3,10,-97,9.8,1,2025-03-27T11:33:54.97596598Z
5,38,42,1007.7,0,0,22.8,211.3,0.3,11,-94,9,1,2025-03-27T11:38:54.992939886Z
6,38,41,1007.8,0,0,22.8,212.7,0.3,12,-88,8.2,1,2025-03-27T11:43:54.965705271Z
7,37,42,1007.8,0,0.02,22.8,210.2,0.3,13,-89,10,1,2025-03-27T11:48:54.991578541Z
8,37,42,1007.7,0,0.04,22.8,221.7,0.4,14,-92,10.5,1,2025-03-27T11:53:54.99386547Z
9,37,42.5,1007.8,0,0.31,22.1,197.6,0.3,16,-113,-5.2,1,2025-03-27T12:03:54.942297129Z
10,37,50,1007.6,0,0.8,18.2,177.3,0.7,17,-111,-2,1,2025-03-27T12:08:54.980393966Z
11,37,55,1007.7,0,1.32,15.8,294.7,2.7,18,-109,1.8,1,2025-03-27T12:13:54.92348686Z
12,37,57,1007.5,0,1.47,14.4,1.8,0.8,20,-102,-3.8,1,2025-03-27T12:23:54.94031482Z
13,37,60.5,1007.4,0,1.49,14.2,298.2,1.9,21,-109,1.8,1,2025-03-27T12:28:54.894317311Z
14,37,62,1007.5,0,1.5,14,272.3,0.9,22,-105,5.8,1,2025-03-27T12:33:54.91539814Z
15,37,62,1007.5,0,1.51,13.9,232.1,0.8,23,-104,7.2,1,2025-03-27T12:38:54.882322543Z
16,37,60,1007.4,0,1.51,13.9,308.5,1.2,24,-108,1.5,1,2025-03-27T12:43:54.880849113Z
17,37,59,1007.4,0,1.52,14,188,1,25,-112,-8,1,2025-03-27T12:48:54.8905211Z
18,39,60,1007.4,0,1.53,14,263.8,1.4,26,-108,1.8,1,2025-03-27T12:53:54.919395537Z
19,39,60.5,1007.3,0,1.57,13.9,284.3,0.9,27,-109,1.2,1,2025-03-27T12:58:54.910036803Z
20,39,63.5,1007.3,0,1.59,13.9,91.8,0.3,28,-101,-1.8,1,2025-03-27T13:03:54.865598415Z
21,39,57.5,1007.2,0,1.62,14.1,18.4,0.5,29,-104,2.8,1,2025-03-27T13:08:54.851088885Z
22,39,58,1007.2,0,1.64,14,296.6,1.2,30,-103,6.2,1,2025-03-27T13:13:54.838291897Z
23,39,63,1007.3,0,1.67,14,257,1.3,31,-101,-1.2,1,2025-03-27T13:18:54.842842969Z
24,39,68.5,1007.2,0,1.71,13.9,143.6,0.2,32,-104,-1.2,1,2025-03-27T13:23:54.865880062Z
25,39,68,1007.2,0,1.73,14,294.1,0.9,33,-110,1,1,2025-03-27T13:28:54.809166541Z
26,39,64,1007.2,0,1.77,14.1,10,0.5,34,-103,-3.8,1,2025-03-27T13:33:54.837695632Z
27,39,66.5,1007.2,0,1.82,14.1,272.9,0.4,35,-107,2.5,1,2025-03-27T13:38:54.81165631Z
28,39,67.5,1007.2,0,1.88,14.1,39.9,0.6,36,-105,3.5,1,2025-03-27T13:43:54.850453153Z
29,39,66,1007.1,0,1.94,14.1,263.7,0.3,37,-104,4,1,2025-03-27T13:48:54.809667076Z
30,39,69,1007,0,2.01,14,39.8,1,38,-111,-5.2,1,2025-03-27T13:53:54.781145683Z
31,42,68.5,1007.2,0,2.08,13.9,78.3,0.6,39,-102,7.8,1,2025-03-27T13:58:54.8047027Z
32,42,66.5,1007.2,0,2.11,13.8,269.1,0.2,40,-109,2.8,1,2025-03-27T14:03:54.815868839Z
33,42,67.5,1007.1,0,2.16,13.6,180,0.3,41,-112,-6.2,1,2025-03-27T14:08:54.761359958Z
34,42,67,1007.1,0,2.2,13.5,250.7,0.5,42,-107,5.2,1,2025-03-27T14:13:54.818312658Z
35,42,70,1007.1,0,2.23,13.4,251.5,0.5,43,-107,4.2,1,2025-03-27T14:18:54.826839653Z
36,42,69,1007.1,0,2.27,13.3,273.6,0.4,44,-104,4.2,1,2025-03-27T14:23:54.746393347Z
37,42,69.5,1007.2,0,2.27,13.2,252.5,0.5,45,-105,2.8,1,2025-03-27T14:28:54.73379747Z
38,42,68,1007.2,0,2.32,13.2,214.1,0.5,46,-110,-2.5,1,2025-03-27T14:33:54.726870417Z
39,42,69.5,1007.4,0,2.41,13.2,253.8,0.4,47,-101,0.5,1,2025-03-27T14:38:54.755548275Z
40,42,72.5,1007.4,0,2.51,13,260.5,0.3,48,-106,2.2,1,2025-03-27T14:43:54.707798828Z
41,42,72,1007.5,0,2.57,13,222.5,0.4,49,-108,2,1,2025-03-27T14:48:54.721105536Z
42,42,69,1007.4,0,2.61,12.9,270.2,0.8,50,-106,5.5,1,2025-03-27T14:53:54.706355574Z
43,42,68,1007.3,0,2.65,12.9,321,1,51,-106,4,1,2025-03-27T14:58:54.735227036Z
44,42,73.5,1007.1,0,2.69,12.6,29.6,1,52,-104,4,1,2025-03-27T15:03:54.700982649Z
45,42,72,1007.1,0,2.69,12.5,332.1,0.5,53,-106,2.5,1,2025-03-27T15:08:54.785030744Z
