,battery,humidity,pressure,rf_counter,rf_total,temperature,direction,speed,f_cnt,rssi,snr,value,time
0,47,46,1007.8,0,0.14,21.2,255.6,0.2,3,-82,11,1,2025-03-27T11:12:08.638326493Z
1,47,46,1007.5,0,0.14,21.4,310.7,0.5,4,-85,10.5,1,2025-03-27T11:17:08.655300014Z
2,47,45.5,1007.6,0,0.14,21.6,326.3,0.3,5,-86,10.8,1,2025-03-27T11:22:08.621966956Z
3,47,45,1007.3,0,0.14,21.7,345.3,0.3,6,-85,10.2,1,2025-03-27T11:27:08.619715064Z
4,47,45,1007.3,0,0.14,21.8,15.5,0.3,7,-80,10.8,1,2025-03-27T11:32:08.618044878Z
5,47,44,1007.3,0,0.14,21.9,12.8,0.3,8,-80,11.5,1,2025-03-27T11:37:08.619641082Z
6,46,43,1007.2,0,0.14,22,333.2,0.4,9,-80,8.8,1,2025-03-27T11:42:08.680154092Z
7,46,43,1007.2,0,0.14,22.1,5.2,0.3,10,-80,10,1,2025-03-27T11:47:19.905344892Z
8,46,42.5,1007,0,0.14,22.1,3.5,0.4,11,-79,8.8,1,2025-03-27T11:52:08.603830462Z
9,46,42.5,1007,0,0.14,22.1,25.3,0.2,12,-80,9.5,1,2025-03-27T11:57:08.58644873Z
10,46,42.5,1006.9,0,0.14,22.2,65.1,0.2,13,-81,9.8,1,2025-03-27T12:02:08.605953159Z
11,46,42.5,1006.9,0,0.14,22.3,72.1,0.2,14,-81,11,1,2025-03-27T12:07:08.622171824Z
12,46,41.5,1006.7,0,0.14,22.3,72.3,0.2,15,-80,11.5,1,2025-03-27T12:12:08.586193877Z
13,46,42,1006.8,0,0.14,22.4,80.9,0.2,16,-82,11.8,1,2025-03-27T12:17:08.566997814Z
14,46,42,1006.6,0,0.14,22.5,85.3,0.3,17,-83,11.2,1,2025-03-27T12:22:08.568568257Z
15,46,41.5,1006.6,0,0.14,22.5,86.9,0.2,18,-80,10.2,1,2025-03-27T12:27:08.613848285Z
16,46,42.5,1006.6,0,0.14,22.5,97.5,0.3,19,-82,12,1,2025-03-27T12:32:08.570261253Z
17,46,40.5,1006.5,0,0.14,22.6,19,0.2,20,-82,12,1,2025-03-27T12:37:08.622003992Z
18,45,39.5,1006.6,0,0.14,22.6,82.4,0.2,21,-82,12.2,1,2025-03-27T12:42:08.580937014Z
19,45,39,1006.4,0,0.14,22.6,18.1,0.2,22,-82,11,1,2025-03-27T12:47:08.546698918Z
20,45,39.5,1006.5,0,0.14,22.6,81.4,0.2,23,-79,9.8,1,2025-03-27T12:52:08.596970495Z
21,45,40,1006.4,0,0.14,22.6,79.3,0.2,24,-81,12.2,1,2025-03-27T12:57:08.587081072Z
22,45,39,1006.3,0,0.14,22.6,310.6,0.4,25,-81,12,1,2025-03-27T13:02:08.567687597Z
23,45,39.5,1006.3,0,0.14,22.5,70.3,0.2,26,-83,9,1,2025-03-27T13:07:08.602917048Z
24,45,39.5,1006.3,0,0.14,22.6,76.7,0.3,27,-88,11.2,1,2025-03-27T13:12:08.558096199Z
25,45,39.5,1006.2,0,0.14,22.6,70.5,0.2,28,-84,8.8,1,2025-03-27T13:17:08.588248634Z
26,45,40.5,1006.3,0,0.14,22.6,74.1,0.2,29,-82,9.5,1,2025-03-27T13:22:08.563332443Z
27,45,40.5,1006.3,0,0.14,22.6,76.4,0.2,30,-85,10.2,1,2025-03-27T13:27:08.583186928Z
28,45,40.5,1006.2,0,0.14,22.6,21.7,0.1,31,-85,10.5,1,2025-03-27T13:32:08.515924709Z
29,45,40.5,1006.2,0,0.14,22.6,62.5,0.2,32,-89,10.8,1,2025-03-27T13:37:08.526112959Z
30,45,40.5,1006.1,0,0.14,22.6,83.1,0.2,33,-87,10.2,1,2025-03-27T13:42:08.510342117Z
31,43,40,1006.1,0,0.14,22.7,91.2,0.2,34,-81,9.8,1,2025-03-27T13:47:08.528251305Z
32,43,40,1006.1,0,0.14,22.7,96.9,0.2,35,-85,10.5,1,2025-03-27T13:52:08.501127629Z
33,43,41.5,1006.3,0,0.14,22.7,75,0.2,36,-85,10.2,1,2025-03-27T13:57:08.500638915Z
34,43,41.5,1006.3,0,0.14,22.7,80.9,0.2,37,-84,9.5,1,2025-03-27T14:02:08.49770797Z
